file_path,file_name,format,width,height,aspect_ratio,file_size_bytes,page_or_component_uses,alt_texts,number_of_uses,public_route_count,unique_or_reused,is_category_fallback,used_in_open_graph,exact_duplicate_group,near_duplicate_groups,dominant_colours,palette_flags,status,phase_1_status,phase_1_note,topic_relevance,realism,colour_visual_interest,composition,technical_quality,brand_suitability,average_score,assessment_notes
public/images/air-conditioning-buying-guide.webp,air-conditioning-buying-guide.webp,webp,1600,720,2.2222,101188,"route /categories/living-spaces/ [inline] alt=""A summer living room with a wall-mounted reverse-cycle air conditioner, ceiling fan and shaded windows"" || route /guides/air-conditioning-buying-guide/ [hero] alt=""A summer living room with a wall-mounted reverse-cycle air conditioner, ceiling fan and shaded windows"" || route /guides/air-conditioning-buying-guide/ [open_graph] alt=""A summer living room with a wall-mounted reverse-cycle air conditioner, ceiling fan and shaded windows"" || source src/pages/guides/air-conditioning-buying-guide/index.astro:27 [source_literal] alt=""A summer living room with a wall-mounted reverse-cycle air conditioner, ceiling fan and shaded windows"" || source src/pages/guides/air-conditioning-buying-guide/index.astro:29 [source_literal] alt=""A summer living room with a wall-mounted reverse-cycle air conditioner, ceiling fan and shaded windows""","A summer living room with a wall-mounted reverse-cycle air conditioner, ceiling fan and shaded windows",5,2,reused,False,True,,,#655643:23% | #b6ae9e:19% | #a09582:19% | #d1c9be:13% | #c4b8ad:13%,grey | beige_or_cream | brown,PENDING,NOT IN PHASE 1,,,,,,,,,
public/images/bathroom.webp,bathroom.webp,webp,1280,896,1.4286,87828,"route /categories/bathroom/ [hero] alt=""A warm bathroom with natural finishes and tidy everyday storage"" || route /categories/ [inline] alt=""A warm bathroom with natural finishes and tidy everyday storage."" || route / [inline] alt=""A tidy bathroom with warm finishes, practical storage and soft natural light."" || source src/components/SimpleCategoryPage.astro:82 [source_literal] alt=""A warm bathroom with natural finishes and tidy everyday storage"" || source src/pages/index.astro:31 [source_literal] alt=""A tidy bathroom with warm finishes, practical storage and soft natural light."" || source src/pages/index.astro:109 [source_literal] alt=""A tidy bathroom with warm finishes, soft light and practical everyday storage."" || source src/pages/categories/index.astro:38 [source_literal] alt=""A warm bathroom with natural finishes and tidy everyday storage.""","A tidy bathroom with warm finishes, practical storage and soft natural light. || A tidy bathroom with warm finishes, soft light and practical everyday storage. || A warm bathroom with natural finishes and tidy everyday storage || A warm bathroom with natural finishes and tidy everyday storage.",7,3,reused,True,False,,,#89775c:26% | #564530:21% | #9a8f77:15% | #b4a794:14% | #aa967d:13%,beige_or_cream | brown | warm_orange_grade,REPLACE,REPLACEMENT ASSET PENDING,,2,4,2,3,4,2,2.83,"Credible decorative bathroom, but it is a beige and timber showroom image reused across 13 routes. It does not show the specific storage, shower, towel or under-sink planning issues claimed by its guide alt text."
public/images/bedroom.webp,bedroom.webp,webp,1280,896,1.4286,90288,"route /categories/bedroom/ [hero] alt=""A calm bedroom with soft bedding and warm natural light"" || route /categories/ [inline] alt=""A calm bedroom with soft bedding and warm natural light."" || route / [inline] alt=""A calm bedroom with soft bedding, warm light and practical storage."" || source src/components/SimpleCategoryPage.astro:86 [source_literal] alt=""A calm bedroom with soft bedding and warm natural light"" || source src/pages/index.astro:24 [source_literal] alt=""A calm bedroom with soft bedding, warm light and practical storage."" || source src/pages/index.astro:101 [source_literal] alt=""A calm small bedroom with soft bedding, warm light and practical storage."" || source src/pages/categories/index.astro:45 [source_literal] alt=""A calm bedroom with soft bedding and warm natural light.""","A calm bedroom with soft bedding and warm natural light || A calm bedroom with soft bedding and warm natural light. || A calm bedroom with soft bedding, warm light and practical storage. || A calm small bedroom with soft bedding, warm light and practical storage.",7,3,reused,True,False,,,#9a9484:22% | #50422e:21% | #716958:17% | #b1ada0:17% | #877762:13%,grey | beige_or_cream | brown,REPLACE,REPLACEMENT ASSET PENDING,,2,4,2,3,4,2,2.83,"A plausible but generic neutral bedroom reused across 12 routes. The dresser, wardrobe, under-bed storage and lighting details described by different guides are not all present."
public/images/ceiling-fans-before-you-buy.webp,ceiling-fans-before-you-buy.webp,webp,1600,720,2.2222,153122,"route /categories/living-spaces/ [inline] alt=""A ceiling fan installed above the seating area of a shaded Australian living room"" || route /guides/ceiling-fans-before-you-buy/ [hero] alt=""A ceiling fan installed above the seating area of a shaded Australian living room"" || route /guides/ceiling-fans-before-you-buy/ [open_graph] alt=""A ceiling fan installed above the seating area of a shaded Australian living room"" || source src/pages/guides/ceiling-fans-before-you-buy/index.astro:44 [source_literal] alt=""A ceiling fan installed above the seating area of a shaded Australian living room"" || source src/pages/guides/ceiling-fans-before-you-buy/index.astro:47 [source_literal] alt=""A ceiling fan installed above the seating area of a shaded Australian living room""",A ceiling fan installed above the seating area of a shaded Australian living room,5,2,reused,False,True,,,#bfb4a7:22% | #655541:21% | #cac1b7:17% | #948771:16% | #ada390:13%,grey | beige_or_cream | brown,PENDING,NOT IN PHASE 1,,,,,,,,,
public/images/condensation-and-mould-during-winter.webp,condensation-and-mould-during-winter.webp,webp,1600,720,2.2222,90334,"route /categories/living-spaces/ [inline] alt=""Winter condensation on an Australian home window with a small area of mould beginning near the frame"" || route /guides/condensation-and-mould-during-winter/ [hero] alt=""Winter condensation on an Australian home window with a small area of mould beginning near the frame"" || route /guides/condensation-and-mould-during-winter/ [open_graph] alt=""Winter condensation on an Australian home window with a small area of mould beginning near the frame"" || source src/pages/guides/condensation-and-mould-during-winter/index.astro:26 [source_literal] alt=""Winter condensation on an Australian home window with a small area of mould beginning near the frame"" || source src/pages/guides/condensation-and-mould-during-winter/index.astro:28 [source_literal] alt=""Winter condensation on an Australian home window with a small area of mould beginning near the frame""",Winter condensation on an Australian home window with a small area of mould beginning near the frame,5,2,reused,False,True,,,#625a55:22% | #a39e9d:20% | #4a413b:17% | #c4c9d3:16% | #746963:13%,grey,PENDING,NOT IN PHASE 1,,,,,,,,,
public/images/electric-blankets-vs-heated-throws.webp,electric-blankets-vs-heated-throws.webp,webp,1600,720,2.2222,117792,"route /categories/bedroom/ [inline] alt=""An electric blanket controller beside a made bed with a heated throw folded over a nearby chair"" || route /guides/electric-blankets-vs-heated-throws/ [hero] alt=""An electric blanket controller beside a made bed with a heated throw folded over a nearby chair"" || route /guides/electric-blankets-vs-heated-throws/ [open_graph] alt=""An electric blanket controller beside a made bed with a heated throw folded over a nearby chair"" || source src/pages/guides/electric-blankets-vs-heated-throws/index.astro:54 [source_literal] alt=""An electric blanket controller beside a made bed with a heated throw folded over a nearby chair"" || source src/pages/guides/electric-blankets-vs-heated-throws/index.astro:56 [source_literal] alt=""An electric blanket controller beside a made bed with a heated throw folded over a nearby chair""",An electric blanket controller beside a made bed with a heated throw folded over a nearby chair,5,2,reused,False,True,,,#5b5149:20% | #3d342d:19% | #2a201a:18% | #473b31:16% | #7e7871:16%,grey | brown,PENDING,NOT IN PHASE 1,,,,,,,,,
public/images/fan-heater-vs-ceramic-heater.webp,fan-heater-vs-ceramic-heater.webp,webp,1600,720,2.2222,54500,"route /categories/living-spaces/ [inline] alt=""A compact fan heater and a taller ceramic heater positioned safely in a winter home interior"" || route /guides/fan-heater-vs-ceramic-heater/ [hero] alt=""A compact fan heater and a taller ceramic heater positioned safely in a winter home interior"" || route /guides/fan-heater-vs-ceramic-heater/ [open_graph] alt=""A compact fan heater and a taller ceramic heater positioned safely in a winter home interior"" || source src/pages/guides/fan-heater-vs-ceramic-heater/index.astro:54 [source_literal] alt=""A compact fan heater and a taller ceramic heater positioned safely in a winter home interior"" || source src/pages/guides/fan-heater-vs-ceramic-heater/index.astro:56 [source_literal] alt=""A compact fan heater and a taller ceramic heater positioned safely in a winter home interior""",A compact fan heater and a taller ceramic heater positioned safely in a winter home interior,5,2,reused,False,True,,,#241d19:24% | #a8968a:20% | #8a796f:17% | #625044:14% | #42342b:14%,brown,PENDING,NOT IN PHASE 1,,,,,,,,,
public/images/garage.webp,garage.webp,webp,1498,1050,1.4267,265192,"route /categories/garage-storage/ [hero] alt=""An organised garage with wall storage, cabinets and clear floor space"" || route /categories/ [inline] alt=""An organised garage with wall storage, cabinets and clear floor space."" || route / [inline] alt=""An organised garage with wall storage, shelves and clear floor space."" || source src/components/SimpleCategoryPage.astro:94 [source_literal] alt=""An organised garage with wall storage, cabinets and clear floor space"" || source src/components/SimpleCategoryPage.astro:98 [source_literal] alt=""An organised garage with wall storage, cabinets and clear floor space"" || source src/components/SimpleCategoryPage.astro:102 [source_literal] alt=""An organised garage with wall storage, cabinets and clear floor space"" || source src/pages/index.astro:66 [source_literal] alt=""An organised garage with wall storage, shelves and clear floor space."" || source src/pages/categories/index.astro:59 [source_literal] alt=""An organised garage with wall storage, cabinets and clear floor space.""","An organised garage with wall storage, cabinets and clear floor space || An organised garage with wall storage, cabinets and clear floor space. || An organised garage with wall storage, shelves and clear floor space.",8,3,reused,True,False,,,#24201b:23% | #9b9086:19% | #8a7d70:17% | #6c5f52:16% | #4b4036:13%,brown,KEEP,FINAL KEEP,,4,4,2,4,4,3,3.5,"Dark and restrained, but the wall storage, cabinets and clear floor zone make it useful across closely related garage-storage guides."
public/images/guides/baby-bath-time-essentials.webp,baby-bath-time-essentials.webp,webp,1600,720,2.2222,98144,"route /categories/nursery-kids/ [inline] alt=""A dry baby bath prepared with folded towels, a washcloth and a small caddy of plain care supplies within adult reach"" || route /guides/baby-bath-time-essentials/ [hero] alt=""A dry baby bath prepared with folded towels, a washcloth and a small caddy of plain care supplies within adult reach"" || source src/pages/guides/baby-bath-time-essentials/index.astro:63 [source_literal] alt=""A dry baby bath prepared with folded towels, a washcloth and a small caddy of plain care supplies within adult reach""","A dry baby bath prepared with folded towels, a washcloth and a small caddy of plain care supplies within adult reach",3,2,reused,False,False,,,#5d5546:21% | #b8b7b2:20% | #7d7f75:16% | #948a80:16% | #a4a39b:16%,grey | beige_or_cream,PENDING,NOT IN PHASE 1,,,,,,,,,
public/images/guides/baby-monitors-australia.webp,baby-monitors-australia.webp,webp,1600,720,2.2222,51782,"route /categories/nursery-kids/ [inline] alt=""An unbranded monitor camera secured outside an empty cot with its cable covered and a plain parent receiver nearby"" || route /guides/baby-monitors-australia/ [hero] alt=""An unbranded monitor camera secured outside an empty cot with its cable covered and a plain parent receiver nearby"" || source src/pages/guides/baby-monitors-australia/index.astro:91 [source_literal] alt=""An unbranded monitor camera secured outside an empty cot with its cable covered and a plain parent receiver nearby""",An unbranded monitor camera secured outside an empty cot with its cable covered and a plain parent receiver nearby,3,2,reused,False,False,,,#929293:22% | #555250:20% | #9fa3a9:19% | #71787e:16% | #827e7b:13%,grey,PENDING,NOT IN PHASE 1,,,,,,,,,
